"ID","ID_Materialu","ID_Zlecenia","ID_Operatora","TypTransakcji","Ilosc","Timestamp","Notatka"
"2157","49","1","","Zuzycie","-19","28.08.2026 20:20:56","Zużycie na stanowisku 1"
"2158","1","1","","Zuzycie","-1","28.08.2026 20:21:25","Zużycie na stanowisku 1"
"2159","38","1","","Zuzycie","0","28.08.2026 20:21:25","Zużycie na stanowisku 1"
"2160","49","1","","Zuzycie","-19","28.08.2026 20:21:25","Zużycie na stanowisku 1"
"2161","27","1","","Zuzycie","-6","28.08.2026 20:21:28","Zużycie na stanowisku 2"
"2162","50","1","","Zuzycie","-6","28.08.2026 20:21:28","Zużycie na stanowisku 2"
"2163","51","1","","Zuzycie","-6","28.08.2026 20:21:28","Zużycie na stanowisku 2"
"2164","27","1","","Zuzycie","-6","28.08.2026 20:21:52","Zużycie na stanowisku 2"
"2165","50","1","","Zuzycie","-6","28.08.2026 20:21:52","Zużycie na stanowisku 2"
"2166","51","1","","Zuzycie","-6","28.08.2026 20:21:52","Zużycie na stanowisku 2"
"2167","52","1","","Zuzycie","-9","28.08.2026 20:21:54","Zużycie na stanowisku 3"
"2168","48","1","","Zuzycie","-4","28.08.2026 20:21:54","Zużycie na stanowisku 3"
"2169","53","1","","Zuzycie","-3","28.08.2026 20:21:54","Zużycie na stanowisku 3"
"2170","1","1","","Zuzycie","-1","28.08.2026 20:22:01","Zużycie na stanowisku 1"
"2171","38","1","","Zuzycie","0","28.08.2026 20:22:01","Zużycie na stanowisku 1"
"2172","49","1","","Zuzycie","-19","28.08.2026 20:22:01","Zużycie na stanowisku 1"
"2173","52","1","","Zuzycie","-9","28.08.2026 20:22:22","Zużycie na stanowisku 3"
"2174","48","1","","Zuzycie","-4","28.08.2026 20:22:22","Zużycie na stanowisku 3"
"2175","53","1","","Zuzycie","-3","28.08.2026 20:22:22","Zużycie na stanowisku 3"
"2176","1","1","","Zuzycie","-1","28.08.2026 20:22:40","Zużycie na stanowisku 1"
"2177","38","1","","Zuzycie","0","28.08.2026 20:22:40","Zużycie na stanowisku 1"
"2178","49","1","","Zuzycie","-19","28.08.2026 20:22:40","Zużycie na stanowisku 1"
"2179","27","1","","Zuzycie","-6","28.08.2026 20:23:10","Zużycie na stanowisku 2"
"2180","50","1","","Zuzycie","-6","28.08.2026 20:23:10","Zużycie na stanowisku 2"
"2181","51","1","","Zuzycie","-6","28.08.2026 20:23:10","Zużycie na stanowisku 2"
"2182","1","1","","Zuzycie","-1","28.08.2026 20:23:17","Zużycie na stanowisku 1"
"2183","38","1","","Zuzycie","0","28.08.2026 20:23:17","Zużycie na stanowisku 1"
"2184","49","1","","Zuzycie","-19","28.08.2026 20:23:17","Zużycie na stanowisku 1"
"2185","1","1","","Zuzycie","-1","28.08.2026 20:28:58","Zużycie na stanowisku 1"
"2186","38","1","","Zuzycie","0","28.08.2026 20:28:58","Zużycie na stanowisku 1"
"2187","49","1","","Zuzycie","-19","28.08.2026 20:28:58","Zużycie na stanowisku 1"
"2188","27","1","","Zuzycie","-6","28.08.2026 20:29:28","Zużycie na stanowisku 2"
"2189","50","1","","Zuzycie","-6","28.08.2026 20:29:28","Zużycie na stanowisku 2"
"2190","51","1","","Zuzycie","-6","28.08.2026 20:29:28","Zużycie na stanowisku 2"
"2191","1","1","","Zuzycie","-1","28.08.2026 20:29:33","Zużycie na stanowisku 1"
"2192","38","1","","Zuzycie","0","28.08.2026 20:29:33","Zużycie na stanowisku 1"
"2193","49","1","","Zuzycie","-19","28.08.2026 20:29:33","Zużycie na stanowisku 1"
"2194","52","1","","Zuzycie","-9","28.08.2026 20:29:59","Zużycie na stanowisku 3"
"2195","48","1","","Zuzycie","-4","28.08.2026 20:29:59","Zużycie na stanowisku 3"
"2196","53","1","","Zuzycie","-3","28.08.2026 20:29:59","Zużycie na stanowisku 3"
"2197","27","1","","Zuzycie","-6","28.08.2026 20:30:07","Zużycie na stanowisku 2"
"2198","50","1","","Zuzycie","-6","28.08.2026 20:30:07","Zużycie na stanowisku 2"
"2199","51","1","","Zuzycie","-6","28.08.2026 20:30:07","Zużycie na stanowisku 2"
"2200","1","1","","Zuzycie","-1","28.08.2026 20:30:07","Zużycie na stanowisku 1"
"2201","38","1","","Zuzycie","0","28.08.2026 20:30:07","Zużycie na stanowisku 1"
"2202","49","1","","Zuzycie","-19","28.08.2026 20:30:07","Zużycie na stanowisku 1"
"2203","1","1","","Zuzycie","-1","28.08.2026 20:36:23","Zużycie na stanowisku 1"
"2204","38","1","","Zuzycie","0","28.08.2026 20:36:23","Zużycie na stanowisku 1"
"2205","49","1","","Zuzycie","-19","28.08.2026 20:36:23","Zużycie na stanowisku 1"
"2206","1","1","","Zuzycie","-1","28.08.2026 20:36:48","Zużycie na stanowisku 1"
"2207","38","1","","Zuzycie","0","28.08.2026 20:36:48","Zużycie na stanowisku 1"
"2208","49","1","","Zuzycie","-19","28.08.2026 20:36:48","Zużycie na stanowisku 1"
"2209","27","1","","Zuzycie","-6","28.08.2026 20:36:54","Zużycie na stanowisku 2"
"2210","50","1","","Zuzycie","-6","28.08.2026 20:36:54","Zużycie na stanowisku 2"
"2211","51","1","","Zuzycie","-6","28.08.2026 20:36:54","Zużycie na stanowisku 2"
"2212","52","1","","Zuzycie","-9","28.08.2026 20:37:19","Zużycie na stanowisku 3"
"2213","48","1","","Zuzycie","-4","28.08.2026 20:37:19","Zużycie na stanowisku 3"
"2214","53","1","","Zuzycie","-3","28.08.2026 20:37:19","Zużycie na stanowisku 3"
"2215","27","1","","Zuzycie","-6","28.08.2026 20:37:22","Zużycie na stanowisku 2"
"2216","50","1","","Zuzycie","-6","28.08.2026 20:37:22","Zużycie na stanowisku 2"
"2217","51","1","","Zuzycie","-6","28.08.2026 20:37:22","Zużycie na stanowisku 2"
"2218","1","1","","Zuzycie","-1","28.08.2026 20:37:31","Zużycie na stanowisku 1"
"2219","38","1","","Zuzycie","0","28.08.2026 20:37:31","Zużycie na stanowisku 1"
"2220","49","1","","Zuzycie","-19","28.08.2026 20:37:31","Zużycie na stanowisku 1"
"2221","52","1","","Zuzycie","-9","28.08.2026 20:37:55","Zużycie na stanowisku 3"
"2222","48","1","","Zuzycie","-4","28.08.2026 20:37:55","Zużycie na stanowisku 3"
"2223","53","1","","Zuzycie","-3","28.08.2026 20:37:55","Zużycie na stanowisku 3"
"2224","1","1","","Zuzycie","-1","28.08.2026 20:37:59","Zużycie na stanowisku 1"
"2225","38","1","","Zuzycie","0","28.08.2026 20:37:59","Zużycie na stanowisku 1"
"2226","49","1","","Zuzycie","-19","28.08.2026 20:37:59","Zużycie na stanowisku 1"
"2227","27","1","","Zuzycie","-6","28.08.2026 20:38:01","Zużycie na stanowisku 2"
"2228","50","1","","Zuzycie","-6","28.08.2026 20:38:01","Zużycie na stanowisku 2"
"2229","51","1","","Zuzycie","-6","28.08.2026 20:38:01","Zużycie na stanowisku 2"
"2230","1","","","ResetMagazynu","5","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2231","27","","","ResetMagazynu","40","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2232","38","","","ResetMagazynu","10","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2233","48","","","ResetMagazynu","20","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2234","49","","","ResetMagazynu","70","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2235","50","","","ResetMagazynu","20","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2236","51","","","ResetMagazynu","20","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2237","52","","","ResetMagazynu","50","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2238","53","","","ResetMagazynu","15","28.08.2026 21:24:35","Reset do stanu bazowego 15.07.2025"
"2239","1","1","","Rezerwacja","-1","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2240","38","1","","Rezerwacja","0","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2241","49","1","","Rezerwacja","-8","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2242","27","1","","Rezerwacja","-6","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2243","50","1","","Rezerwacja","-8","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2244","51","1","","Rezerwacja","-9","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2245","52","1","","Rezerwacja","-7","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2246","48","1","","Rezerwacja","-7","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2247","53","1","","Rezerwacja","-3","28.08.2026 21:24:44","Rezerwacja dla zlecenia 1"
"2248","1","1","","Rezerwacja","-1","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2249","38","1","","Rezerwacja","0","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2250","49","1","","Rezerwacja","-19","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2251","27","1","","Rezerwacja","-6","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2252","50","1","","Rezerwacja","-6","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2253","51","1","","Rezerwacja","-6","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2254","52","1","","Rezerwacja","-9","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2255","48","1","","Rezerwacja","-4","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2256","53","1","","Rezerwacja","-3","28.08.2026 23:19:11","Rezerwacja dla zlecenia 1"
"2257","1","1","","Rezerwacja","0","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2258","38","1","","Rezerwacja","-4","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2259","49","1","","Rezerwacja","-28","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2260","27","1","","Rezerwacja","-8","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2261","50","1","","Rezerwacja","-8","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2262","51","1","","Rezerwacja","-16","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2263","52","1","","Rezerwacja","-32","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2264","48","1","","Rezerwacja","-12","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2265","53","1","","Rezerwacja","-12","29.08.2026 00:36:36","Rezerwacja dla zlecenia 1"
"2266","1","1","","ZwrotRezerwy","0","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2267","38","1","","ZwrotRezerwy","4","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2268","49","1","","ZwrotRezerwy","28","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2269","27","1","","ZwrotRezerwy","8","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2270","50","1","","ZwrotRezerwy","8","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2271","51","1","","ZwrotRezerwy","16","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2272","52","1","","ZwrotRezerwy","32","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2273","48","1","","ZwrotRezerwy","12","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2274","53","1","","ZwrotRezerwy","12","29.08.2026 00:39:46","Zwolnienie rezerwy po usunięciu zlecenia 1"
